municipio,poblacion_2020
Agua de Dios,12.325
Albán,6.879
Anapoima,16.064
Anolaima,14.577
Apulo,8.747
Arbeláez,10.959
Beltrán,1.885
Bituima,2.568
Bojacá,11.092
Cabrera,5.062
Cachipay,10.703
Cajicá,92.967
Caparrapí,12.99
Cáqueza,17.956
Carmen de Carupa,7.94
Chaguaní,4.364
Chía,149.57
Chipaque,10.058
Choachí,11.528
Chocontá,22.278
Cogua,24.434
Cota,36.992
Cucunubá,8.257
El Colegio,26.176
El Peñón,4.789
El Rosal,24.768
Facatativá,155.978
Fómeque,12.803
Fosca,6.038
Funza,105.086
Fúquene,5.211
Fusagasugá,154.143
Gachalá,4.405
Gachancipá,19.376
Gachetá,8.539
Gama,3.214
Girardot,109.792
Granada,7.931
Guachetá,14.241
Guaduas,33.212
Guasca,16.934
Guataquí,2.772
Guatavita,6.811
Guayabal de Síquima,4.743
Guayabetal,6.744
Gutiérrez,3.567
Jerusalén,2.315
Junín,6.074
La Calera,32.917
La Mesa,36.129
La Palma,9.81
La Peña,6.095
La Vega,18.642
Lenguazaque,10.794
Machetá,6.278
Madrid,127.138
Manta,3.893
Medina,8.211
Mosquera,150.665
Nariño,2.464
Nemocón,14.532
Nilo,12.028
Nimaima,3.763
Nocaima,6.562
Pacho,25.803
Paime,4.279
Pandi,5.334
Paratebueno,9.218
Pasca,9.626
Puerto Salgar,16.671
Pulí,3.438
Quebradanegra,4.927
Quetame,5.315
Quipile,6.536
Ricaurte,14.367
San Antonio del Tequendama,12.829
San Bernardo,8.984
San Cayetano,4.978
San Francisco,11.844
San Juan de Rioseco,8.537
Sasaima,11.521
Sesquilé,12.645
Sibaté,36.658
Silvania,23.489
Simijaca,14.062
Soacha,753.548
Sopó,28.999
Subachoque,16.743
Suesca,18.741
Supatá,5.543
Susa,7.067
Sutatausa,6.441
Tabio,24.206
Tausa,8.654
Tena,10.531
Tenjo,24.096
Tibacuy,4.639
Tibirita,3.285
Tocaima,16.611
Tocancipá,45.714
Topaipí,4.284
Ubalá,7.789
Ubaque,7.067
Une,7.371
Útica,4.434
Venecia,4.449
Vergara,7.167
Vianí,4.667
Villa de San Diego de Ubaté (Ubaté),46.911
Villagómez,1.826
Villapinzón,18.433
Villeta,29.128
Viotá,13.878
Yacopí,12.564
Zipacón,5.022
Zipaquirá,146.352
